movie_id;collection_id;collection_name;poster_path;backdrop_path
142308;469648;Santas Paw;/haRetxq46DdrwbHKA7GW3egfxrG.jpg;/i8jLwVVuYRgr8I9uOYnCPvzPUA4.jpg
1428;9649;Mexico Trilogy;/qmPhILSFQKaRyc81mVJWl05tHai.jpg;/6p1OzuIKWnTDfDea7IpB9xra5J.jpg
144288;118415;Berserk: Golden Age Arc;/vhgxnF9xEJZllqWs7iqD0yXpfL0.jpg;/iaElhxBtT6fTlaiUp7ZZDNOyqLf.jpg
144852;415931;The Bowery Boys;/q6sA4bzMT9cK7EEmXYwt7PNrL5h.jpg;/foe3kuiJmg5AklhtD3skWbaTMf2.jpg
145;498;Heart of Gold Collection;/cwrmUIVzOuR9FdqKBfERkMHdde0.jpg;/293UTX2btTkblOL7WZF1Q7veIJm.jpg
145220;256377;The Muppet Collection;/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg;/1AWd3MM90G47mxtD112gRDxSXY9.jpg
146216;163902;RED Collection;/d9T3DkXxDahif4eXPzrH28yayaL.jpg;/7OsWpRJowfXdZ610iKiBA7FzaD6.jpg
146301;41437;Paranormal Activity Collection;/lYXAMmm9XlYmj5Dr4O9diLQVCJS.jpg;/hZMiAPeINRH0M2X1PBEgn6YdULy.jpg
1483;476066;Begotten Collection;/eTmRdQWGkVbxO5YXvkvSf3BFbQ.jpg;/fKj5F5U26FVKx6Q3Wyd1XxVpu3r.jpg
1487;17235;Hellboy Collection;/81B1OdGY7f3TVN06eKra25vHzYk.jpg;/i6WF7cYiogl8g5ryZDbZBw8RNVN.jpg
1493;93220;Miss Congeniality Collection;/wgQWsSsvB1iu1Pwc4nUP9E5bRzs.jpg;/7TIT28YbhAOeQGD2q2hJ9j83jI1.jpg
150;93295;48 Hrs. Collection;/8Dlcb8aDch6sUcWBc8zSSfNbPgG.jpg;/hRaxX6WmtukiBvi8ru7RFVQiDYk.jpg
150010;284700;Ivan Brovkin Collection;/glEGLk03qadKtBZC1iUPgbpttCg.jpg;/vKaGWQBUbfW4LEdKUln9FcX6SRG.jpg
151933;473185;Dead in Tombstone Collection;/3TdTcCWDBNaekYDxkQyb0heDLaR.jpg;/yUGYwtE4KQ36MLOT2PD497op5T4.jpg
